toward	[tɔːrdz]	к, по направлению к
smoke	[smoʊk]	дым, курить
appropriate	[əˈproʊpriət]	подходящий, соответствующий
crime	[kraɪm]	преступление, преступность
reasonable	[ˈriːznəbl]	разумный
bucket	[ˈbʌkɪt]	ведро
afternoon	[ˌæftərˈnuːn]	после полудня, дневное время
major	[ˈmeɪdʒər]	основной, главный, майор
set	[set]	ставить, устанавливать, комплект
concern	[kənˈsɜːrn]	беспокойство, забота, беспокоиться
poisonous	[ˈpɔɪzənəs]	ядовитый
new	[njuː, nuː]	новый
raw	[rɔː]	сырой, необработанный
nature	[ˈneɪtʃər]	природа, сущность
port	[pɔːrt]	порт
useless	[ˈjuːsləs]	бесполезный
injury	[ˈɪndʒəri]	травма, повреждение
dust	[dʌst]	пыль, вытирать пыль
aim	[eɪm]	цель, задача, целиться
here	[hɪr]	здесь, тут
trick	[trɪk]	трюк, уловка, обманывать
talk	[tɔːk]	говорить, разговаривать, разговор
none	[nʌn]	никто, ни один
hot	[hɑːt]	горячий, жаркий, горячо
involve	[ɪnˈvɑːlv]	вовлекать, включать
fast	[fæst]	быстрый, быстро
possession	[pəˈzeʃn]	владение, собственность
real	[ˈriːəl]	реальный, подлинный, реально
choose	[tʃuːz]	выбирать
intention	[ɪnˈtenʃn]	намерение
defeat	[dɪˈfiːt]	наносить поражение, побеждать, поражение
fruit	[fruːt]	фрукт(ы)
mathematics	[ˌmæθəˈmætɪks]	математика
street	[striːt]	улица
ice	[aɪs]	лед, ледяной
mirror	[ˈmɪrər]	зеркало
disgusting	[dɪsˈɡʌstɪŋ]	отвратительный
blame	[bleɪm]	обвинять, порицать, вина
refuse	[rɪˈfjuːz]	отказывать(ся)
always	[ˈɔːlweɪz]	всегда
thin	[θɪn]	тонкий, худой, тонко
regard	[rɪˈɡɑːrd]	уважение, отношение, уважать
struggle	[ˈstrʌɡl]	делать усилия, бороться, усилие
yesterday	[ˈjestərdeɪ]	вчера, вчерашний день
electricity	[ɪˌlekˈtrɪsəti]	электричество
persuade	[pərˈsweɪd]	убеждать
cough	[kɔːf]	кашлять
draw	[drɔː]	рисовать, чертить, ничья
musician	[mjuˈzɪʃn]	музыкант
determination	[dɪˌtɜːrmɪˈneɪʃn]	решительность, решение
suddenly	[ˈsʌdənli]	вдруг, внезапно
avoid	[əˈvɔɪd]	избегать
school	[skuːl]	школа
grateful	[ˈɡreɪtfl]	благодарный, признательный
lucky	[ˈlʌki]	удачливый, удачный
evidence	[ˈevɪdəns]	доказательства, данные, свидетельствовать
cent	[sent]	цент
advantage	[ədˈvæntɪdʒ]	преимущество
centimeter	[ˈsentɪmiːtər]	сантиметр
to	[tuː, tu, tə]	пространственные значения
rope	[roʊp]	веревка, канат
funeral	[ˈfjuːnərəl]	похороны
height	[haɪt]	высота, рост
awake	[əˈweɪk]	просыпаться, будить, бодрствующий
fork	[fɔːrk]	вилка, вилы
anymore	[ˌenɪ'mɔːr]	больше не, уже не
club	[klʌb]	клуб, дубинка
western	[ˈwestərn]	западный, вестерн
Friday	[ˈfraɪdeɪ]	пятница
inch	[ɪntʃ]	дюйм, 2,54 см
collection	[kəˈlekʃn]	коллекция
priest	[priːst]	священник, жрец
knife	[naɪf]	нож
creature	[ˈkriːtʃər]	существо, создание
left	[left]	левый, левая сторона
mountain	[ˈmaʊntn]	гора
pilot	[ˈpaɪlət]	пилот, летчик, пилотировать
flow	[floʊ]	поток, течение, течь
read	[riːd]	читать, чтение
tune	[tuːn]	мелодия
live	[lɪv]	жить, живой
field	[fiːld]	поле, область, полевой
off	[ɔːf, ɑːf]	указывает на дистанцию, выключение, дальний
powerful	[ˈpaʊərfl]	мощный, сильный
usually	[ˈjuːʒuəli, ˈjuʒəli]	обычно
hall	[hɔːl]	зал, холл
advise	[ədˈvaɪz]	советовать, консультировать(ся)
year	[jɪr]	год
annoy	[əˈnɔɪ]	раздражать
complicated	[ˈkɑːmplɪkeɪtɪd]	сложный, запутанный
fight	[faɪt]	драться, сражаться, бой
shade	[ʃeɪd]	тень, оттенок, затенять
somehow	[ˈsʌmhaʊ]	как-то, так или иначе
treatment	[ˈtriːtmənt]	лечение, обработка
agency	[ˈeɪdʒənsi]	агентство
hang	[hæŋ]	вешать, висеть
represent	[ˌreprɪˈzent]	представлять, изображать
stretch	[stretʃ]	тянуть(ся), растягивать(ся)
fall	[fɔːl]	падать, падение
lose	[luːz]	терять, утрачивать
match	[mætʃ]	соответствовать, совпадать, матч, спичка
black	[blæk]	черный, черный цвет
seed	[siːd]	семя, семечко
three	[θriː]	три
decrease	[ˈdiːkriːs]	снижать(ся), уменьшать(ся), снижение
few	[fjuː]	немного, несколько, незначительное число
phone	[foʊn]	телефон, звонить по телефону
against	[əˈɡenst, əˈɡeɪnst]	против, перед
noise	[nɔɪz]	шум
army	[ˈɑːrmi]	армия, войска
separate	[j - ˈseprət, v - ˈsepəreɪt]	отдельный, отделять
band	[bænd]	банда, лента
shop	[ʃɑːp]	магазин, совершать покупки
soap	[soʊp]	мыло
skill	[skɪl]	умение, навык
adjective	[ˈædʒɪktɪv]	прилагательное
plain	[pleɪn]	равнина, простой
through	[θruː]	через, сквозь, насквозь
willing	[ˈwɪlɪŋ]	готовый (сделать что-л.)
apple	[ˈæpl]	яблоко
rent	[rent]	аренда, арендовать
surface	[ˈsɜːrfɪs]	поверхность
inside	[ˌɪnˈsaɪd]	внутри, в
low	[loʊ]	низкий, невысокий, низко
lend	[lend]	давать взаймы, одалживать
one	[wʌn]	один, один
clean	[kliːn]	чистый, чистить
pay	[peɪ]	платить, плата
about	[əˈbaʊt]	насчет, на тему, повсюду
report	[rɪˈpɔːrt]	доклад, сообщение, сообщать
medicine	[ˈmedɪsn]	медицина, лекарство
frequent	[ˈfriːkwənt]	частый
that	[ðæt]	тот, та, что
flat	[flæt]	плоский, ровный, квартира
feeling	[ˈfiːlɪŋ]	чувство, ощущение
build	[bɪld]	строить
source	[sɔːrs]	источник
track	[træk]	следить, отслеживать, след
gas	[ɡæs]	газ, горючее
model	[ˈmɑːdl]	модель, образец, моделировать
harm	[hɑːrm]	вред, вредить
game	[ɡeɪm]	игра, играть
useful	[ˈjuːsfl]	полезный
each	[iːtʃ]	каждый, каждый
morning	[ˈmɔːrnɪŋ]	утро
sting	[stɪŋ]	жалить, жало
command	[kəˈmænd]	команда, приказ, приказывать
dare	[der]	сметь, отваживаться, вызов
social	[ˈsoʊʃl]	общественный, социальный, собрание
length	[leŋθ]	длина
company	[ˈkʌmpəni]	компания, фирма
range	[reɪndʒ]	диапазон, спектр
meaning	[ˈmiːnɪŋ]	смысл, значение
grandmother	[ˈɡrænmʌðər]	бабушка
ourselves	[ɑːrˈselvz, ˌaʊər-]	себя, собой
receive	[rɪˈsiːv]	получать
breath	[breθ]	дыхание, вздох
mistake	[mɪˈsteɪk]	ошибка, ошибаться
legal	[ˈliːɡl]	легальный, законный
violence	[ˈvaɪələns]	насилие, жестокость
hardly	[ˈhɑːrdli]	вряд ли, едва ли
brain	[breɪn]	мозг
criminal	[ˈkrɪmɪnl]	преступный, криминальный, преступник
wonder	[ˈwʌndər]	удивляться, интересоваться, удивление
now	[naʊ]	сейчас, в настоящий момент
pepper	[ˈpepər]	перец, перчить
period	[ˈpɪriəd]	период, срок
rain	[reɪn]	дождь, идти (о дожде)
vowel	[ˈvaʊəl]	гласный звук
serious	[ˈsɪriəs]	серьезный
sexual	[ˈsekʃuəl]	сексуальный, половой
upper	[ˈʌpər]	верхний
afford	[əˈfɔːrd]	позволить себе, быть в состоянии
effort	[ˈefərt]	усилие, попытка
deep	[diːp]	глубокий, глубоко
shall	[ʃəl]	образует будущее время, просьбу/предложение
family	[ˈfæməli]	семья
birth	[bɜːrθ]	рождение, роды
production	[prəˈdʌkʃn]	производство, продукция
silk	[sɪlk]	шелк
anxious	[ˈæŋkʃəs]	тревожный, озабоченный
firm	[fɜːrm]	твердый, крепкий, фирма
despite	[dɪˈspaɪt]	несмотря на, злоба
importance	[ɪmˈpɔːrtns]	важность, значимость
wood	[wʊd]	дерево, (мн.) лес
tourist	[ˈtʊrɪst]	турист
happen	[ˈhæpən]	случаться, происходить
time	[taɪm]	время
exact	[ɪɡˈzækt]	точный
ride	[raɪd]	ездить, кататься, езда
much	[mʌtʃ]	весьма, очень
tired	[ˈtaɪərd]	уставший
money	[ˈmʌni]	деньги
patient	[ˈpeɪʃnt]	терпеливый, пациент
sour	[ˈsaʊər]	кислый
very	[ˈveri]	очень, самый
agree	[əˈɡriː]	соглашаться
immediate	[ɪˈmiːdiət]	немедленный, ближайший
nice	[naɪs]	хороший, приятный
several	[ˈsevrəl]	несколько, несколько
defend	[dɪˈfend]	защищать(ся)
food	[fuːd]	еда, пища
rich	[rɪtʃ]	богатый
answer	[ˈænsər]	ответ, отвечать
international	[ˌɪntərˈnæʃnəl]	международный, интернациональный
anyone	[ˈeniwʌn]	любой, кто-угодно
often	[ˈɔːfn, ˈɔːftən]	часто
football	[ˈfʊtbɔːl]	футбол
bush	[bʊʃ]	куст, кустарник
make	[meɪk]	делать, создавать
I	[aɪ]	я
gift	[ɡɪft]	подарок, дар, дарить
too	[tuː]	слишком, тоже
cap	[kæp]	кепка, фуражка
loaf	[loʊf]	буханка, батон
divide	[dɪˈvaɪd]	делить(ся), разделять(ся)
edge	[edʒ]	край, грань
join	[dʒɔɪn]	соединять, присоединиться
rank	[ræŋk]	ранг, звание, ранжировать
also	[ˈɔːlsoʊ]	также, тоже
sight	[saɪt]	зрение, вид
message	[ˈmesɪdʒ]	сообщение, послание, посылать сообщение
coast	[koʊst]	побережье, берег
nurse	[nɜːrs]	медсестра, сиделка
marry	[ˈmæri]	жениться, выходить замуж
cream	[kriːm]	крем, сливки, кремовый
carry	[ˈkæri]	нести, носить, переноска
wall	[wɔːl]	стена
between	[bɪˈtwiːn]	между, между
arm	[ɑːrm]	рука, вооружать
educate	[ˈedʒukeɪt]	воспитывать, обучать
little	[ˈlɪtl]	маленький, немного
information	[ˌɪnfərˈmeɪʃn]	информация
careful	[ˈkerfl]	осторожный, внимательный
asleep	[əˈsliːp]	спящий
dream	[driːm]	мечта, сон, мечтать
January	[ˈdʒænjueri]	январь
preserve	[prɪˈzɜːrv]	сохранять, хранить
ocean	[ˈoʊʃn]	океан
November	[noʊˈvembər]	ноябрь
prison	[ˈprɪzn]	тюрьма
test	[test]	тест, испытание, тестировать
nail	[neɪl]	гвоздь, ноготь, прибивать (гвоздями)
abroad	[əˈbrɔːd]	за границей, за границу
swell	[swel]	распухать, набухать
beach	[biːtʃ]	пляж
approve	[əˈpruːv]	одобрять, утверждать
hate	[heɪt]	ненавидеть, ненависть
finish	[ˈfɪnɪʃ]	заканчивать, завершать, конец
snake	[sneɪk]	змея
apartment	[əˈpɑːrtmənt]	квартира, апартаменты
hi	[haɪ]	привет
pound	[paʊnd]	фунт (453,6 г), фунт стерлингов
fairly	[ˈferli]	довольно-таки, достаточно
remark	[rɪˈmɑːrk]	замечание, высказывание, замечать
single	[ˈsɪŋɡl]	один, единственный, холостяк
herself	[hɜːrˈself]	себя, сама
pray	[preɪ]	молить(ся)
verb	[vɜːrb]	глагол
coat	[koʊt]	пальто, пиджак
control	[kənˈtroʊl]	контроль, регулирование, контролировать
combine	[kəmˈbaɪn]	сочетать(ся), объединять
attract	[əˈtrækt]	привлекать, притягивать
blood	[blʌd]	кровь
education	[ˌedʒuˈkeɪʃn]	образование, обучение
advertisement	[ˌædvərˈtaɪzmənt]	реклама, рекламное объявление
quickly	[ˈkwɪkli]	быстро
character	[ˈkærəktər]	характер, персонаж
payment	[ˈpeɪmənt]	оплата, платеж
he	[hi, hiː]	он
wire	[ˈwaɪər]	провод, проволока
courage	[ˈkɜːrɪdʒ]	храбрость, мужество
angry	[ˈæŋɡri]	сердитый, рассерженный
other	[ˈʌðər]	другой, иной, другой
sometimes	[ˈsʌmtaɪmz]	иногда, временами
absence	[ˈæbsəns]	отсутствие
shoe	[ʃuː]	ботинок, туфля
knowledge	[ˈnɑːlɪdʒ]	знание
speech	[spiːtʃ]	речь
bar	[bɑːr]	бар, брусок, преграждать
strict	[strɪkt]	строгий
skin	[skɪn]	кожа, шкура
like	[laɪk]	любить, нравиться, подобно
literature	[ˈlɪtrətʃər]	литература
airport	[ˈerpɔːrt]	аэропорт
sleep	[sliːp]	спать, сон
entertain	[ˌentərˈteɪn]	развлекать
impressive	[ɪmˈpresɪv]	впечатляющий
ground	[ɡraʊnd]	земля, грунт, заземлять
pen	[pen]	ручка
connection	[kəˈnekʃn]	связь, соединение
forty	[ˈfɔːrti]	сорок
permission	[pərˈmɪʃn]	разрешение, позволение
common	[ˈkɑːmən]	общий, простой
sale	[seɪl]	продажа, распродажа
computer	[kəmˈpjuːtər]	компьютер, компьютерный
odd	[ɑːd]	странный, нечетный
faith	[feɪθ]	вера
growth	[ɡroʊθ]	рост
end	[end]	конец, кончать
wool	[wʊl]	шерсть
east	[iːst]	восток, восточный
secret	[ˈsiːkrət]	секрет, тайна, тайный
butter	[ˈbʌtər]	масло
chance	[tʃæns]	шанс, случайность, случайный
factory	[ˈfækt(ə)ri]	завод, фабрика
passage	[ˈpæsɪdʒ]	проход, коридор
warn	[wɔːrn]	предупреждать
respect	[rɪˈspekt]	уважение, уважать
anywhere	[ˈeniwer]	где угодно, везде
smile	[smaɪl]	улыбаться, улыбка
death	[deθ]	смерть
reaction	[riˈækʃn]	реакция
wife	[waɪf]	жена
cost	[kɔːst]	стоить, цена
concert	[ˈkɑːnsərt]	концерт
keep	[kiːp]	держать, хранить
letter	[ˈletər]	письмо, буква
document	[ˈdɑːkjumənt]	документ, документировать
everybody	[ˈevribɑːdi]	всякий, каждый
tree	[triː]	дерево
enjoy	[ɪnˈdʒɔɪ]	наслаждаться, получать удовольствие
kilogram	[ˈkɪləɡræm]	килограмм
temperature	[ˈtemprətʃər]	температура
two	[tuː]	два
male	[meɪl]	мужчина, самец, мужской
opposite	[ˈɑːpəzət]	противоположный, обратный, напротив
slow	[sloʊ]	медленный, замедлять(ся)
behavior	[bɪˈheɪvjər]	поведение
prepare	[prɪˈper]	готовить, подготавливать
specific	[spəˈsɪfɪk]	конкретный, определенный
thick	[θɪk]	толстый, плотный
cheerful	[ˈtʃɪrfl]	веселый, радостный
suitable	[ˈsuːtəbl]	подходящий
chief	[tʃiːf]	главный, ведущий, начальник
thousand	[ˈθaʊznd]	тысяча, тысяча
themselves	[ðəmˈselvz]	сами, себя
mood	[muːd]	настроение
possess	[pəˈzes]	владеть, обладать
aunt	[ænt]	тетя
mess	[mes]	беспорядок, путаница, пачкать
cure	[kjʊr]	лечить, исцелять, лечение
fat	[fæt]	жир, жирный
spoon	[spuːn]	ложка
pump	[pʌmp]	насос, помпа
owner	[ˈoʊnər]	владелец
comfortable	[ˈkʌmftəbl]	удобный, комфортный
fence	[fens]	забор, ограда
pleasure	[ˈpleʒər]	удовольствие
home	[hoʊm]	дом, дома
life	[laɪf]	жизнь
medical	[ˈmedɪkl]	медицинский
unite	[juˈnaɪt]	объединять(ся)
shoulder	[ˈʃoʊldər]	плечо
dish	[dɪʃ]	блюдо
size	[saɪz]	размер
formal	[ˈfɔːrml]	формальный, официальный
pressure	[ˈpreʃər]	давление
name	[neɪm]	имя, название, называть
urgent	[ˈɜːrdʒənt]	срочный, неотложный
security	[səˈkjʊrəti]	безопасность, защита
mail	[meɪl]	почта, посылать по почте
reduce	[rɪˈduːs]	уменьшить, сокращать
truth	[truːθ]	правда, истина
curtain	[ˈkɜːrtn]	занавес(ка), штора
justice	[ˈdʒʌstɪs]	справедливость, правосудие
long	[lɔːŋ, lɑːŋ]	длинный, долго
shape	[ʃeɪp]	форма, придавать форму
lip	[lɪp]	губа
invite	[ɪnˈvaɪt]	приглашать
care	[ker]	заботиться, ухаживать, уход
might	[maɪt]	мощь, могущество
complete	[kəmˈpliːt]	завершать, заканчивать, полный
servant	[ˈsɜːrvənt]	слуга, прислуга
sweet	[swiːt]	сладкий, сладкое
capital	[ˈkæpɪtl]	столица, капитал, заглавный
please	[pliːz]	пожалуйста, радовать
continuous	[kənˈtɪnjuəs]	непрерывный, постоянный
any	[ˈeni]	сколько-нибудь, кто-нибудь
romantic	[roʊˈmæntɪk]	романтический, романтичный
twelve	[twelv]	двенадцать
memory	[ˈmeməri]	память, воспоминание
opposition	[ˌɑːpəˈzɪʃn]	оппозиция, сопротивление
autumn	[ˈɔːtəm]	осень
painful	[ˈpeɪnfl]	болезненный, мучительный
go	[ɡoʊ]	идти
stone	[stoʊn]	камень
twenty	[ˈtwenti]	двадцать
weak	[wiːk]	слабый
least	[liːst]	менее всего, минимальное количество
background	[ˈbækɡraʊnd]	фон, происхождение
wealth	[welθ]	богатство
wheel	[wiːl]	колесо
force	[fɔːrs]	сила, заставлять
card	[kɑːrd]	карта
equal	[ˈiːkwəl]	равный, одинаковый, равняться
heat	[hiːt]	тепло, жара, нагревать (ся)
partly	[ˈpɑːrtli]	частично, отчасти
political	[pəˈlɪtɪkl]	политический
parallel	[ˈpærəlel]	параллельный, параллель
both	[boʊθ]	оба, как..., так и
such	[sʌtʃ]	такой, подобный, такой
put	[pʊt]	класть, ставить
begin	[bɪˈɡɪn]	начинать
stop	[stɑːp]	остановка, прекращение, останавливаться
increase	[ɪnˈkriːs]	возрастать, увеличивать(ся), увеличение
pig	[pɪɡ]	свинья
touch	[tʌtʃ]	прикасаться, трогать, прикосновение
she	[ʃi, ʃiː]	она
quarrel	[ˈkwɑːrəl, ˈkwɔːrəl]	ссора, спор, ссориться
late	[leɪt]	поздний, поздно
warmth	[wɔːrmθ]	тепло, теплота
boy	[bɔɪ]	мальчик
shiny	[ˈʃaɪni]	солнечный, блестящий
remember	[rɪˈmembər]	помнить, вспоминать
response	[rɪˈspɑːns]	ответ, отклик
only	[ˈoʊnli]	единственный, только
early	[ˈɜːrli]	ранний, рано
breathe	[briːð]	дышать
table	[ˈteɪbl]	стол, таблица, класть на стол
good	[ɡʊd]	хороший
performance	[pərˈfɔːrməns]	исполнение, выступление
climb	[klaɪm]	взбираться, карабкаться
onto	[ˈɔːntu, ˈɑːntə]	на
neither	[ˈnaɪðər, ˈniːðər]	ни один, никто (из двух), тоже не
ear	[ɪr]	ухо
healthy	[ˈhelθi]	здоровый
success	[səkˈses]	успех
hand	[hænd]	рука
scene	[siːn]	сцена, вид
lack	[læk]	нехватка, отсутствие, нуждаться
responsible	[rɪˈspɑːnsəbl]	ответственный
protection	[prəˈtekʃn]	защита
before	[bɪˈfɔːr]	до, раньше, прежде
machine	[məˈʃiːn]	машина, машинный
February	[ˈfebrueri]	февраль
imagination	[ɪˌmædʒɪˈneɪʃn]	воображение
never	[ˈnevər]	никогда
tube	[tuːb]	труба, трубка
eight	[eɪt]	восемь, восьмерка
sound	[saʊnd]	звучать, звук
sympathetic	[ˌsɪmpəˈθetɪk]	сочувствующий, благожелательный
speed	[spiːd]	скорость, ускорять
delicate	[ˈdelɪkət]	деликатный, тонкий
right	[raɪt]	правый, правильный, право
recent	[ˈriːsnt]	недавний, последний
scissors	[ˈsɪzərz]	ножницы
cell	[sel]	клетка, ячейка
face	[feɪs]	лицо, встречаться
mine	[maɪn]	шахта, рудник
meal	[miːl]	принятие пищи, еда
plan	[plæn]	план, проект, планировать
pale	[peɪl]	бледный
lid	[lɪd]	крышка, веко
powder	[ˈpaʊdər]	порошок, пудра
myself	[maɪˈself]	сам, себя
water	[ˈwɔːtər]	вода
judgment	[ˈdʒʌdʒmənt]	суждение, заключение суда
wine	[waɪn]	вино
amuse	[əˈmjuːz]	развлекать, забавлять
century	[ˈsentʃəri]	век, столетие
head	[hed]	голова, возглавлять
chair	[tʃer]	стул, кресло, возглавлять
May	[meɪ]	май
steel	[stiːl]	сталь
and	[ənd, ænd]	и
night	[naɪt]	ночь
catch	[kætʃ]	поймать, ловить, поимка
improvement	[ɪmˈpruːvmənt]	улучшение, совершенствование
anxiety	[æŋˈzaɪəti]	тревога
pole	[poʊl]	столб, шест
package	[ˈpækɪdʒ]	пакет, сверток, упаковывать
lead	[liːd]	вести, сопровождать, лидерство
sort	[sɔːrt]	тип, вид, сортировать
favor	[ˈfeɪvər]	одолжение, благосклонность
sentence	[ˈsentəns]	предложение, приговор
away	[əˈweɪ]	далеко, вдали
sorry	[ˈsɔri, ˈsɑri]	извините, сожалеющий
style	[staɪl]	стиль
pronounce	[prəˈnaʊns]	произносить
anybody	[ˈenibʌdi]	любой, кто-нибудь
age	[eɪdʒ]	возраст, век, стареть
jump	[dʒʌmp]	прыгать, прыжок
necessary	[ˈnesəseri]	необходимый, необходимо
negative	[ˈneɡətɪv]	отрицательный, негативный
plane	[pleɪn]	самолет, плоскость, плоский
fish	[fɪʃ]	рыба, рыбачить
compare	[kəmˈper]	сравнивать
clever	[ˈklevər]	умный, способный
brown	[braʊn]	коричневый, бурый, коричневый цвет
desert	[n - ˈdezərt, v - dɪˈzɜːrt]	пустыня, пустынный
former	[ˈfɔːrmər]	бывший, предшествующий
related	[rɪˈleɪtɪd]	связанные
entire	[ɪnˈtaɪər]	весь, целый
demand	[dɪˈmænd]	требование, спрос, требовать
rice	[raɪs]	рис
violent	[ˈvaɪələnt]	жестокий, насильственный
word	[wɜːrd]	слово
bicycle	[ˈbaɪsɪkl]	велосипед
request	[rɪˈkwest]	просьба, запрос, просить
rest	[rest]	отдых, сон, отдыхать
use	[juːz]	использовать, употребление
center	[ˈsentər]	центр, середина чего-л., центрировать
solid	[ˈsɑːlɪd]	твердый, сплошной
mud	[mʌd]	грязь
suppose	[səˈpoʊz]	полагать, предполагать
matter	[ˈmætər]	вещество, вопрос, иметь значение
today	[təˈdeɪ]	сегодня, сегодняшний день
lonely	[ˈloʊnli]	одинокий
mean	[miːn]	иметь в виду, подразумевать, неприятный
adult	[ˈædʌlt, əˈdʌlt]	взрослый, для взрослых, взрослый
particular	[pərˈtɪkjələr]	конкретный, особый
gather	[ˈɡæðər]	собирать(ся)
solve	[sɑːlv, sɔːlv]	решать, разрешать
breast	[brest]	грудь
roll	[roʊl]	катить(ся), вращать(ся), рулон
lazy	[ˈleɪzi]	ленивый
harmful	[ˈhɑːrmfl]	вредный
balance	[ˈbæləns]	баланс, равновесие, (с)балансировать
snow	[snoʊ]	снег, идти (о снеге)
sell	[sel]	продавать
private	[ˈpraɪvət]	частный, личный
valley	[ˈvæli]	долина
ugly	[ˈʌɡli]	уродливый, безобразный
order	[ˈɔːrdər]	порядок, приказ, приказывать
original	[əˈrɪdʒənl]	оригинальный, первоначальный , оригинал
crash	[kræʃ]	крах, крушение, разбивать(ся)
bath	[bæθ]	ванна, купать
nine	[naɪn]	девять, девятка
student	[ˈstuːdnt]	студент
bottle	[ˈbɑːtl]	бутылка
criticize	[ˈkrɪtɪsaɪz]	критиковать
lung	[lʌŋ]	легкое
down	[daʊn]	вниз
December	[dɪˈsembər]	декабрь
present	[ˈpreznt]	настоящее время, текущий момент, настоящий
iron	[ˈaɪərn]	железо, утюг, железный
rob	[rɑːb]	грабить
fail	[feɪl]	терпеть неудачу, подводить, неудача
container	[kənˈteɪnər]	контейнер, сосуд
coffee	[ˈkɑfi]	кофе
convenient	[kənˈviːniənt]	удобный, подходящий
advanced	[ədˈvænst]	передовой, продвинутый
cheek	[tʃiːk]	щека, нахальство
king	[kɪŋ]	король
pile	[paɪl]	куча, груда, складывать
day	[deɪ]	день, сутки
actor	[ˈæktər]	актер
store	[stɔːr]	хранить, накапливать, магазин
horn	[hɔːrn]	рог
same	[seɪm]	тот (же) самый, такой же, то же
summer	[ˈsʌmər]	лето
dry	[draɪ]	сухой, сушить(ся)
cake	[keɪk]	торт, пирожное
reflect	[rɪˈflekt]	отражать, размышлять
move	[muːv]	передвигать, двигаться, движение
seventy	[ˈsevnti]	семьдесят, 70
else	[els]	еще, кроме
stomach	[ˈstʌmək]	живот, желудок
friend	[frend]	друг
eleven	[ɪˈlevn]	одиннадцать
liter	[ˈliːtər]	литр
punishment	[ˈpʌnɪʃmənt]	наказание
wide	[waɪd]	широкий, широко
income	[ˈɪnkʌm]	доход, прибыль
central	[ˈsentrəl]	центральный, главный
threat	[θret]	угроза
admire	[ədˈmaɪər]	восхищаться, любоваться
hope	[hoʊp]	надеяться, надежда
sudden	[ˈsʌdn]	внезапный
especially	[ɪˈspeʃəli]	особенно, в особенности
occasion	[əˈkeɪʒn]	случай, повод
raise	[reɪz]	повышать, поднимать, увеличение
factor	[ˈfæktər]	фактор
forward	[ˈfɔːrwərd]	вперед, дальше, передний
tight	[taɪt]	тугой, тесный
stage	[steɪdʒ]	этап, стадия
offensive	[əˈfensɪv]	оскорбительный, наступательный
frightening	[ˈfraɪtnɪŋ]	пугающий
recommend	[ˌrekəˈmend]	рекомендовать
wash	[wɑːʃ, wɔːʃ]	мыть(ся)
hurry	[ˈhɜːri]	спешка, торопить(ся)
Monday	[ˈmʌnd(e)ɪ]	понедельник
perfect	[ˈpɜːrfɪkt]	идеальный, совершенный
road	[roʊd]	дорога, путь
glass	[ɡlæs]	стекло, стакан, стеклянный
quantity	[ˈkwɑːntəti]	количество
come	[kʌm]	приходить, прибывать
settle	[ˈsetl]	урегулировать, улаживать
exactly	[ɪɡˈzæktli]	точно, именно
government	[ˈɡʌvərnmənt]	государство, правительство
clothing	[ˈkloʊðɪŋ]	одежда
achieve	[əˈtʃiːv]	достигать, добиваться
ability	[əˈbɪləti]	способность, умение
pot	[pɑːt]	горшок, кастрюля
explain	[ɪkˈspleɪn]	объяснять, разъяснять
prize	[praɪz]	приз
many	[ˈmeni]	многие, много, масса
strength	[streŋθ]	сила
nest	[nest]	гнездо, гнездиться
so	[soʊ]	так, настолько, так что
wet	[wet]	мокрый, влажный
emotion	[ɪˈmoʊʃn]	эмоция, волнение
out	[aʊt]	вне, снаружи, из
office	[ˈɔːfɪs, ˈɑːfɪs]	офис, служба
ancient	[ˈeɪnʃənt]	античный, древний
dirt	[dɜːrt]	грязь
cross	[krɔːs]	пересекать(ся), крест
gain	[ɡeɪn]	получать, приобретать, прирост
sure	[ʃʊr]	конечно, уверенный
serve	[sɜːrv]	служить, обслуживать
upset	[ʌpˈset]	огорчать, расстраивать, расстроенный
second	[ˈsekənd]	секунда, второй по счёту, второй
photograph	[ˈfoʊtəɡræf]	фотографировать, фотография
chest	[tʃest]	грудная клетка, сундук
nonsense	[ˈnɑːns(e)ns]	ерунда, вздор
list	[lɪst]	список, перечень, перечислять
own	[oʊn]	свой, собственный, владеть
mind	[maɪnd]	разум, ум, иметь в виду
discovery	[dɪˈskʌvəri]	открытие
pin	[pɪn]	булавка, приколоть
free	[friː]	свободный, бесплатный, свободно
operate	[ˈɑːpəreɪt]	работать, действовать
the	[ðiː, ði, ðə]	определенный артикль
acid	[ˈæsɪd]	кислота, кислотный
guess	[ɡes]	гадать, догадываться, предположение
improve	[ɪmˈpruːv]	улучшать(ся), совершенствовать(ся)
correct	[kəˈrekt]	правильный, верный, исправлять
teach	[tiːtʃ]	учить, обучать
crowd	[kraʊd]	толпа, множество, толпиться
economy	[ɪˈkɑːnəmi]	экономика, экономичность, экономичный
addition	[əˈdɪʃn]	дополнение
bunch	[bʌntʃ]	связка, гроздь
train	[treɪn]	поезд, тренировать(ся)
swim	[swɪm]	плавать, плыть, плавание
class	[klæs]	класс
prayer	[prer]	молитва, мольба
stay	[steɪ]	останавливаться, оставаться, пребывание
fine	[faɪn]	прекрасно, хорошо, прекрасный
beneath	[bɪˈniːθ]	под, внизу
last	[læst]	последний, продолжаться
ceiling	[ˈsiːlɪŋ]	потолок
thank	[θæŋk]	благодарить
across	[əˈkrɔːs, əˈkrɑːs]	поперек, через, поперек
cloth	[klɔːθ]	ткань, скатерть
defence	[dɪˈfens]	защита
